keywords_from_comments,Frequency
room,6696
hotel,5356
staff,4697
service,4640
stay,4455
great,3211
birthday,2802
food,2765
time,2739
good,2696
experience,2619
Hong,2590
nice,2564
really,2552
view,2543
like,2340
team,2278
staycation,2164
-,2145
definitely,1985
best,1813
breakfast,1774
thanks,1685
dinner,1606
come,1583
friendly,1555
check,1513
&,1507
excellent,1497
special,1477
recommend,1444
Kong,1438
wonderful,1436
feel,1379
Thank,1375
make,1307
especially,1305
amazing,1294
pool,1283
stayed,1260
W,1186
enjoyed,1131
thank,1099
night,1079
dining,1061
helpful,1042
restaurant,1023
tea,1011
warm,1008
enjoy,1003
Hotel,971
celebrate,939
professional,930
suite,927
stay.,923
care,919
cake,910
provided,907
hotel.,902
visit,895
love,871
room.,860
family,859
services,850
went,850
service.,843
Thanks,843
guest,841
quality,837
day,831
us.,805
Upper,793
buffet,765
Murray,759
harbour,754
",",742
welcome,733
set,732
attentive,731
booked,725
afternoon,724
Regis,721
place,720
memorable,716
highly,713
perfect,712
friends,710
spacious,709
lovely,705
"room,",705
got,703
hotels,702
high,701
gave,691
staffs,686
super,684
Special,682
big,679
beautiful,674
little,670
sure,667
staying,662
HK,658
surprise,657
package,657
making,656
comfortable,653
rooms,644
delicious,644
Guest,639
say,630
help,626
anniversary,619
lounge,618
offered,617
"service,",615
took,607
Kong.,602
wedding,598
Mandarin,595
House,593
clean,593
celebration,574
Island,570
MO,568
prepared,566
lunch,565
helped,564
Room,563
felt,562
experience.,561
top,560
swimming,558
2,557
check-in,556
happy,548
served,541
club,541
desk,539
arranged,532
"hotel,",524
view.,517
truly,516
want,513
new,510
extra,508
impressed,508
need,503
kind,502
came,501
in-room,500
time.,500
guests,498
helpful.,494
Seasons,494
facilities,493
hospitality,490
card,489
.,488
try,486
checked,485
forward,483
birthday.,475
surprised,475
lot,475
bit,464
extremely,459
bar,459
Club,458
amenities,453
floor,453
way,451
quite,447
free,444
upgraded,443
views,439
Highly,439
different,436
Victoria,435
Cafe,434
moment,432
bath,429
wife,427
weekend,427
small,423
table,423
Ritz,423
Chinese,422
St,422
looking,421
Lounge,421
kids,419
bathroom,414
fantastic,412
Staff,408
design,407
bed,406
"stay,",406
greeted,405
arrangement,404
drinks,404
wait,400
better,394
provide,391
5,391
attention,390
second,388
good.,386
Food,385
makes,385
asked,385
it’s,385
absolutely,384
3,383
Great,383
location,382
people,381
Harbour,381
appreciate,378
butler,377
St.,376
Oriental,375
wine,374
relaxing,373
well.,371
look,369
friend,369
long,369
know,367
manager,365
upgrade,362
!,360
late,359
loved,359
home,358
offer,354
restaurants,350
staff.,349
decoration,349
including,349
it.,346
spent,345
taking,342
"staff,",341
menu,340
customer,340
Shangri-La,340
pleasant,338
enjoyable,338
Relations,338
stunning,336
recommended,331
sweet,330
decided,330
arrived,324
think,323
received,322
complimentary,322
right,320
star,320
details,317
luxury,315
gym,315
unforgettable,315
"food,",314
Breakfast,313
welcoming,313
level,311
staycation.,311
polite,310
sea,308
able,305
environment,303
worth,303
husband,302
chocolate,301
celebrating,300
appreciated,299
mention,299
tried,299
thoughtful,298
booking,296
choice,296
nice.,296
here.,296
lobby,294
order,293
year,293
choose,293
area,293
times,291
friendly.,291
didn’t,289
too.,288
"us,",287
met,284
away,284
comfortable.,284
given,283
included,283
Especially,283
reservation,283
Team,282
"view,",280
coming,279
Service,278
again.,276
Suite,276
ordered,274
work,274
reception,273
thing,272
me.,271
water,270
Definitely,269
arrange,269
"team,",269
great.,268
entire,268
dishes,267
busy,266
evening,266
excellent.,266
things,265
celebration.,264
"Kong,",264
taken,263
It’s,263
ask,262
welcomed,261
arrival,261
going,261
team.,258
course,258
city,257
"in,",257
Nicole,257
Carlton,257
book,253
told,252
decorated,251
huge,251
spend,251
personal,250
in.,250
amazing.,248
house,248
"helpful,",247
needs,246
"Also,",246
short,246
return,245
delicious.,245
"friendly,",245
"Overall,",244
"Hailey,",243
brought,242
old,242
overall,242
day.,241
"time,",241
early,241
Overall,240
nights,240
there.,239
food.,238
Tai,238
1,237
relations,237
selection,237
chose,236
smooth,235
modern,235
HK.,235
Horizon,235
days,233
exceptional,231
morning,229
spa,229
hope,227
variety,226
much.,226
anniversary.,226
caring,225
large,225
smile,224
standard,223
"However,",222
left,222
dinner.,222
Nice,221
checking,221
fabulous,220
out.,220
bathtub,219
let,218
Excellent,218
near,217
atmosphere,217
signature,217
taste,217
Good,216
yet,215
use,215
champagne,215
home.,213
professional.,213
travel,212
window,212
showed,211
wanted,211
:),210
outstanding,210
soon,209
walk,209
hand,209
main,208
trip,208
end,208
request,207
"nice,",207
decorations,207
serving,207
concierge,207
dessert,206
drink,205
incredible,205
sent,204
bottle,204
fresh,204
called,203
Vivien,203
coffee,202
"Irene,",202
impressive,201
Bar,201
Mr.,201
lots,200
particularly,200
meal,200
members,199
superb,199
night.,199
member,199
View,199
"breakfast,",197
far,196
said,195
housekeeping,195
hot,195
looked,194
effort,194
services.,193
delivered,193
Lung,192
perfect.,191
can’t,190
visited,189
express,188
renovated,188
breakfast.,188
years,187
gift,186
restaurant.,186
ready,185
choices,185
spectacular,184
simply,183
favourite,183
start,183
"great,",183
"pool,",182
certainly,181
expect,180
giving,180
Icon,180
located,179
lady,178
"experience,",178
hard,178
helping,178
photos,177
daughter,177
thought,176
job,176
needed,176
impeccable,175
4,175
feeling,174
awesome,174
serve,174
Ms,174
totally,173
one.,173
"good,",173
I’m,173
/,172
inside,172
Manager,172
remember,172
