Categorization,keywords,Total
c,room,9468
e,hotel,8455
e,service,7419
e,staff,6481
e,stay,5784
e,thank,5002
e,great,4045
d,view,3978
e,time,3771
b,food,3702
e,good,3471
e,experience,3358
e,nice,3288
a,birthday,3277
e,team,3087
e,hong,2590
e,really,2552
e,staycation,2475
b,breakfast,2472
e,like,2340
e,kong,2304
e,definitely,2254
e,special,2159
e,friendly,2091
e,excellent,1981
e,guest,1978
b,dinner,1828
e,best,1813
e,helpful,1783
e,make,1692
e,especially,1588
e,come,1583
b,restaurant,1559
e,amazing,1542
e,night,1518
e,check,1513
c,pool,1465
e,recommend,1444
e,wonderful,1436
e,feel,1379
e,day,1305
e,stayed,1260
c,suite,1203
e,w,1186
e,highly,1152
e,professional,1143
d,harbour,1135
e,enjoyed,1131
e,u,1092
e,friend,1079
b,dining,1061
c,lounge,1039
b,tea,1011
e,warm,1008
e,enjoy,1003
c,club,999
e,it,994
a,celebrate,939
e,comfortable,937
e,care,919
a,cake,910
e,provided,907
e,perfect,903
e,visit,895
e,hk,893
b,deliciou,889
e,love,871
e,family,859
e,went,850
a,anniversary,845
e,house,841
a,celebration,838
e,quality,837
e,st,798
e,upper,793
b,buffet,765
e,murray,759
e,need,749
e,welcome,733
e,set,732
e,attentive,731
e,overall,726
e,booked,725
e,afternoon,724
e,regi,721
e,place,720
e,memorable,716
e,spaciou,709
e,lovely,705
e,got,703
e,high,701
e,gave,691
e,super,684
e,big,679
e,lot,675
e,beautiful,674
e,little,670
e,sure,667
e,staying,662
c,bar,660
e,package,657
a,surprise,657
e,making,656
e,say,630
e,help,626
e,offered,617
b,drink,609
e,took,607
a,wedding,598
e,mandarin,595
e,clean,593
e,relation,575
e,home,571
e,island,570
e,mo,568
e,prepared,566
b,lunch,565
e,helped,564
e,felt,562
e,top,560
c,swimming,558
e,2,557
e,decoration,556
e,checkin,556
e,happy,548
e,served,541
e,desk,539
e,manager,537
e,thing,537
e,arranged,532
e,truly,516
e,want,513
e,new,510
e,impressed,508
e,extra,508
e,in,507
e,kind,502
e,came,501
b,inroom,500
e,season,494
c,facility,493
e,hospitality,490
e,card,489
e,try,486
e,checked,485
e,forward,483
e,choice,481
e,year,480
e,surprised,475
e,bit,464
e,extremely,459
c,amenity,453
e,floor,453
e,way,451
e,quite,447
e,free,444
e,upgraded,443
e,different,436
d,victorium,435
b,cafe,434
e,moment,432
c,bath,429
e,wife,427
e,weekend,427
e,small,423
e,table,423
e,ritz,423
e,chinese,422
e,looking,421
e,kid,419
c,bathroom,414
e,fantastic,412
e,design,407
c,bed,406
e,greeted,405
e,arrangement,404
e,wait,400
e,member,398
e,better,394
e,provide,391
e,5,391
e,attention,390
e,second,388
e,asked,385
e,absolutely,384
e,3,383
e,location,382
e,person,381
e,appreciate,378
e,butler,377
e,oriental,375
b,wine,374
e,relaxing,373
e,well,371
e,look,369
e,long,369
e,know,367
e,upgrade,362
e,late,359
e,loved,359
e,offer,354
e,including,349
e,spent,345
e,taking,342
e,shangrila,340
e,customer,340
b,menu,340
e,pleasant,338
e,enjoyable,338
e,stunning,336
e,recommended,331
e,sweet,330
e,decided,330
e,arrived,324
e,think,323
e,received,322
e,complimentary,322
e,right,320
e,star,320
e,detail,317
e,unforgettable,315
c,gym,315
e,luxury,315
e,welcoming,313
e,level,311
e,polite,310
d,sea,308
e,able,305
e,worth,303
d,environment,303
e,husband,302
b,chocolate,301
a,celebrating,300
e,tried,299
e,mention,299
e,appreciated,299
e,thoughtful,298
e,booking,296
e,here,296
c,lobby,294
e,choose,293
e,order,293
e,area,293
e,didnt,289
e,too,288
e,away,284
e,met,284
e,reservation,283
e,included,283
e,given,283
e,coming,279
e,again,276
e,work,274
e,ordered,274
c,reception,273
e,me,271
b,water,270
e,arrange,269
e,entire,268
b,dish,267
e,busy,266
e,evening,266
e,taken,263
e,ask,262
e,welcomed,261
e,arrival,261
e,going,261
e,course,258
e,carlton,257
e,city,257
e,nicole,257
e,book,253
e,told,252
e,decorated,251
e,spend,251
e,huge,251
e,personal,250
e,also,246
e,short,246
e,return,245
e,hailey,243
e,brought,242
e,old,242
e,early,241
e,there,239
e,tai,238
e,selection,237
e,1,237
e,chose,236
e,smooth,235
e,modern,235
e,horizon,235
e,exceptional,231
e,morning,229
c,spa,229
e,hope,227
e,much,226
e,variety,226
e,caring,225
e,large,225
e,smile,224
e,standard,223
e,however,222
e,left,222
e,checking,221
e,fabulou,220
e,out,220
c,bathtub,219
e,let,218
e,near,217
e,atmosphere,217
e,signature,217
b,taste,217
b,champagne,215
e,use,215
e,yet,215
e,window,212
e,travel,212
e,wanted,211
e,showed,211
e,outstanding,210
e,hand,209
e,walk,209
e,soon,209
e,end,208
e,trip,208
e,main,208
e,concierge,207
e,request,207
e,serving,207
e,dessert,206
e,incredible,205
e,fresh,204
e,bottle,204
e,sent,204
e,called,203
e,vivien,203
e,irene,202
b,coffee,202
e,mr,201
e,impressive,201
b,meal,200
e,particularly,200
e,superb,199
e,far,196
e,said,195
e,hot,195
e,housekeeping,195
e,effort,194
e,looked,194
e,delivered,193
e,lung,192
e,cant,190
e,visited,189
e,renovated,188
e,express,188
e,gift,186
e,ready,185
e,spectacular,184
e,simply,183
e,favourite,183
e,start,183
e,certainly,181
e,icon,180
e,expect,180
e,giving,180
e,located,179
e,lady,178
e,hard,178
e,helping,178
e,photo,177
e,daughter,177
e,thought,176
e,job,176
e,needed,176
e,impeccable,175
e,4,175
e,m,174
e,feeling,174
e,serve,174
e,awesome,174
e,totally,173
e,one,173
e,im,173
e,inside,172
e,remember,172
